item_name:string,description:text,price:float,header:string,menu_id:int
Edamame,Boiled organic soybean.,4.95 ,Appetizers,1
Deep Fried Tempura Shrimp,6 pieces.,6.95 ,Appetizers,1
Pork Gyoza,Pan fried pot stickers.,5.95 ,Appetizers,1
Boiled Gyoza,Served with goma (sesame) sauce.,4.95 ,Appetizers,1
Deep Fried Tempura Shrimps,6 piece.,5.95 ,Appetizers,1
Seaweed Salad,6 piece.,4.95 ,Appetizers,1
Crispy Octopus Balls,Fried chicken nugget.,6.95 ,Appetizers,1
Karaage,1 piece.,8.95 ,Appetizers,1
Age Dashi,Kimchi and seasoned seaweed.,5.95 ,Appetizers,1
Whole Deep Fried Soft Shell Crab,Single bone chicken wings with teriyaki sauce.,8.95 ,Appetizers,1
Pickles Combo,House special fried chicken wings.,6.95 ,Appetizers,1
10 Pieces Sesame Wings,Homemade cabbage with Korean chili and fresh fruit.,5.95 ,Appetizers,1
5 Pieces Teba Fry,3 Pieces Shrimp and 2 Pieces Veggie,5.95 ,Appetizers,1
Tonkotsu Ramen Rich,"Ramen noodles in white broth made from pork bones and topped with katsu. All ramen is topped with roasted pork, half flavored egg, and seasonal vegetables.",12.95 ,Soup,1
Shoyu Ramen,"All ramen is topped with roasted pork, half flavored egg, and seasonal vegetables.",12.95 ,Soup,1
Miso Ramen,"All ramen is topped with roasted pork, half flavored egg, and seasonal vegetables.",12.95 ,Soup,1
Homemade Spicy Tonkotsu Ramen,"pork belly, roasted pork. ground pork.1/2 flavored egg and seasonal vegetables. Spicy.",14.95 ,Chef Recommendation,1
Tan Tan Ramen Combo,"Homemade minced pork with varieties of chili and pepper sauce. Topping: soft boiled seasoned egg, mushroom and sesame.",13.95 ,Chef Recommendation,1
Paiku Men Ramen,"Premium tender ribs, slow cooked extremity tender ribs for 8 hours with carrot sauce and cinnamon, star anise.",13.95 ,Chef Recommendation,1
Hakata Tonkotsu Ramen,Rich and creamy lobster pork flavor.,14.95 ,Chef Recommendation,1
